filename,class
00011431_Algometer Pain S059 16.jpg,none
00096eab_Neutral S042 18.jpg,none
000987fc_Algometer Pain-2 S032 17.jpg,moderate
000eb774_S022F 12.jpg,none
0010e502_Neutral S058 08.jpg,none
0012fa20_Posed Pain S056 17.jpg,mild
0018a28f_Neutral S047 05.jpg,none
0026c528_S065L 03.jpg,mild
002c0860_S036N 21.jpg,none
002f0e9b_Posed Pain S035 17.jpg,moderate
003300d4_Neutra S005 10.jpg,none
0033b330_Neutral S033 17.jpg,none
003d3453_Laser Pain S006 19.jpg,none
00403f38_Algometer Pain S039 16.jpg,none
0043a912_S065L 05.jpg,none
0049dbca_S053L 21.jpg,none
004a1ec7_S002F 09.jpg,none
004c0b67_S059L 08.jpg,mild
0051a12f_S004L 07.jpg,none
0052bb5c_S033L 07.jpg,none
005735bd_Algometer Pain S033 15.jpg,none
0058bede_Neutral S022 15.jpg,mild
00605d4a_Neutra S005 07.jpg,none
00646ec1_S043L 06.jpg,none
00662213_Algometer Pain S018 16.jpg,moderate
0069e198_Posed Pain S013 21.jpg,none
006a42a1_Neutral S054 03.jpg,mild
006cdc98_Neutral S011 10.jpg,none
006f4697_S010L 21.jpg,none
006f54f5_Neutral S002 05.jpg,none
006f8468_Neutral S007 02.jpg,none
0071bc31_Algometer Pain S062 04.jpg,none
0072f86c_Neutral S015 21.jpg,none
0077c689_Neutral S058 05.jpg,none
00788bd7_Posed Pain-2 S052 06 (2).jpg,none
007b9e6e_Neutra S005 15.jpg,none
007c1b21_Posed Pain S067 12.jpg,none
007c239a_Posed Pain S040 15.jpg,none
00803c17_Neutral S062 04.jpg,none
0083b489_S038L 13.jpg,none
0084ef8a_S038L 10.jpg,none
0087b0fe_S064L 15.jpg,mild
0087dd3c_Posed Pain S010 02.jpg,moderate
0089dd54_S068F 17.jpg,none
008ea904_S054L 17.jpg,none
009049c2_Algometer Pain S023 12.jpg,mild
00908ef9_Posed Pain S028 14.jpg,moderate
0091dfed_Algometer Pain-2 S032 06.jpg,none
00947810_Posed Pain S004 17.jpg,mild
0095477d_Neutral S064 16.jpg,none
0095e3fc_Neutral S064 16.jpg,none
0097283c_S065L 22.jpg,none
00982240_Laser Pain S001 11_1.jpg,mild
00a37018_S015A 07.jpg,none
00a9938d_Algometer Pain S028 16.jpg,mild
00afb082_S036N 12.jpg,none
00b11bde_S012F 06.jpg,none
00b1fdf5_S007F 13.jpg,none
00b25965_S008F 13.jpg,none
00b26215_S055F 08.jpg,none
00b5b279_Neutral S009 21.jpg,none
00b916d7_S015A 10.jpg,mild
00bd5ef6_Neutral S013 18.jpg,none
00bfad42_S037L 15.jpg,none
00c2d9ac_S025N 20.jpg,mild
00c5e255_S061L 08.jpg,none
00c7ace5_Algometer Pain S003 16.jpg,none
00c7cd6d_Algometer Pain S002 17.jpg,none
00c8385b_Algometer Pain S037 03.jpg,mild
00c9825d_Algometer Pain S068 11.jpg,none
00ce659c_S062L 18.jpg,mild
00d0a727_Posed Pain S056 03.jpg,none
00d119fa_Posed Pain S038 08.jpg,mild
00d33d2f_Laser Pain S015 22.jpg,none
00d60a23_Neutral S063 06.jpg,none
00e0f1fe_Neutral S050 16.jpg,mild
00e132b4_Neutral S067 06.jpg,mild
00e8ce64_S041L 18.jpg,none
00f45448_S034L 10.jpg,none
00f5cf8d_Neutral S033 05.jpg,none
00faff96_S035L 13.jpg,none
01014ceb_S064L 11.jpg,none
010e3844_S021A 22.jpg,moderate
0110ff47_Algometer Pain S056 04.jpg,none
01120557_S038L 18.jpg,none
01135fa0_S027N 07.jpg,mild
01152676_Posed Pain S065 21.jpg,none
01187d76_Posed Pain S063 09.jpg,none
01189123_Colour-S001A 09.jpg,none
01197e41_Neutral S055 04.jpg,none
011cc000_S020L 12.jpg,none
011f395d_Neutral S008 11.jpg,none
01248248_Neutral S054 07.jpg,none
0129aa2b_Neutral S060 16.jpg,none
012d21ff_S009F 14.jpg,moderate
012e7988_Algometer Pain S007 13.jpg,none
0132ccd1_S003F 06.jpg,moderate
013456a6_Algometer Pain S027 08.jpg,mild
013524df_S024L 07.jpg,none
013562f6_Algometer Pain S062 20.jpg,none
013a5802_Neutral S049 06.jpg,none
01419163_Algometer Pain-2 S019 06.jpg,mild
0145774e_S021L 18.jpg,mild
014626a3_S063L 22.jpg,none
014a5c5c_Neutral S041 20.jpg,none
014dde05_S027N 06.jpg,none
014fa788_Neutral S004 15.jpg,none
0150eec5_S005F 13.jpg,mild
015286c0_L�ser S019 05.jpg,mild
0158cdcb_Algometer Pain S051 12.jpg,none
015a30df_Neutral S067 20.jpg,none
015d19c0_Posed Pain S033 08.jpg,none
015ed8ec_S008L 12.jpg,none
01655600_S009F 11.jpg,none
01660ebf_Neutral S002 15.jpg,none
016687c4_Laser Pain S044 17.jpg,mild
0169d165_S036N 19.jpg,none
016aeb79_Neutral S045 16.jpg,none
016b8912_Neutral S029 05.jpg,none
0177307a_Algometer Pain S039 19.jpg,none
017e7ff7_Posed Pain1 25.jpg,mild
017fda23_Posed Pain S040 14.jpg,none
0185204e_Algometer Pain S018 09.jpg,none
01885a76_Algometer Pain-2 S019 04.jpg,none
0192fd5a_S049A 04.jpg,mild
0197c3a6_Neutral S022 17.jpg,none
0199d6b8_S015A 13.jpg,none
01a29da5_Posed Pain S020 04.jpg,none
01a30a3e_Neutral S059 06.jpg,none
01a3da2f_S003F 11.jpg,none
01a44158_S051L 20.jpg,mild
01a59bf7_S007F 18.jpg,none
01a66371_S010L 21.jpg,none
01abbc39_Neutral S041 22.jpg,none
01b2c155_Neutral S068 17.jpg,none
01b61944_Neutral S033 09.jpg,none
01b683f2_S042L 18.jpg,none
01c0422b_Posed Pain S035 15.jpg,none
01c73af5_S003F 09.jpg,none
01cc82de_S036A 16.jpg,mild
01d38167_Posed Pain S047 04.jpg,none
01d58d05_S059L 06.jpg,none
01dcdec5_S066A 06.jpg,none
01e115db_Neutral S060 10.jpg,none
01e4137d_Algometer Pain-2 S052 18.jpg,moderate
01e54a64_Algometer Pain S024 04.jpg,mild
01e5546a_S042F 15.jpg,mild
01e7e0b1_S015A 05.jpg,none
01e9a4ed_S068F 16.jpg,none
01ef3b08_Neutral S041 07.jpg,none
01ef80bb_Laser Pain-2 S029 02.jpg,mild
01f23a69_Neutral S068 20.jpg,none
01f5db5e_Neutral S007 17.jpg,none
01f68347_S023F 17.jpg,mild
01f98208_Neutral S024 05.jpg,none
01f9fe0f_S049F 08.jpg,mild
01fbcb7a_Neutral S065 05.jpg,none
0200dca8_Neutral S043 06.jpg,mild
0203b2dc_Posed Pain S017 09.jpg,none
020873f1_Posed Pain S025 07.jpg,mild
020a0de2_Neutral S0036 13.jpg,none
02134145_S036N 03.jpg,none
0215585a_S032L 15.jpg,none
02195545_Neutral S054 05.jpg,mild
02199760_S032L 03.jpg,none
0219bac4_Neutral S035 09.jpg,mild
021cde7d_S043L 18.jpg,none
021e8867_Neutral S067 13.jpg,mild
022c9ac5_Laser Pain S049 15.jpg,none
022cc353_S016L 04.jpg,none
022d3f9f_Posed Pain S016 17.jpg,mild
022e8380_S041L 15.jpg,mild
0232886f_S025N 14.jpg,mild
023a2f5b_Posed Pain S056 22.jpg,moderate
023a788a_Neutral S008 15.jpg,none
023d4554_S052L 16.jpg,none
0242299e_Neutral S010  17.jpg,none
0243c82e_Neutral S056 19.jpg,none
0244ab5a_Posed Pain S035 05.jpg,none
0245f4ec_Neutral S022 22.jpg,none
024e8f5c_Posed Pain S034 14.jpg,none
02545697_Neutral S059 05.jpg,none
0254d4ac_Algometer Pain S009 11.jpg,moderate
0255b36e_S023N 16.jpg,none
025601b4_S051N 04.jpg,none
02583a02_Algometer Pain S046 18.jpg,none
025bc5b3_Neutral S009 16.jpg,mild
025c139a_S068F 19.jpg,moderate
025e3ea1_S013A 10_1.jpg,none
02609a38_Neutral S041 07.jpg,none
026354df_S010L 20.jpg,none
0265cce6_L�ser S022 04.jpg,none
026841e0_S034N 15.jpg,none
0272936d_Posed Pain S014 05.jpg,mild
027c33db_Neutral S056 21.jpg,none
027dcba3_S035L 09.jpg,none
027ed5e4_Posed Pain S050 03.jpg,mild
027f34b0_Posed Pain S053 19.jpg,none
0281831e_Neutral S003 18.jpg,none
02898636_Posed Pain S017 20.jpg,mild
028a6d5f_Neutral S041 16.jpg,mild
028bc530_Laser Pain S018 03.jpg,none
028ca231_Neutral S029 11.jpg,mild
028e3081_S015A 07.jpg,none
028eb0c6_Posed Pain S063 19.jpg,none
029371dd_Neutral S057 11.jpg,none
0295d8e7_S021L 07.jpg,none
0297879d_Neutral S017 02.jpg,none
02a47e0c_Algometer Pain S029 06.jpg,mild
02a54f32_Algometer Pain S009 10.jpg,mild
02a7c698_S005F 16.jpg,none
02a93225_Posed Pain S020 04.jpg,mild
02ab4fc1_S061A 21.jpg,none
02abe865_Algometer Pain S041 09.jpg,moderate
02ac2da6_S057L 07.jpg,none
02adc3f3_S036A 18.jpg,none
02ae331b_Neutral S038 11.jpg,none
02aeb4dd_Neutral S011 18.jpg,none
02b1dff3_Algometer Pain-2 S052 07 (2).jpg,none
02b1e461_S034N 18.jpg,none
02b4379e_S043A 13.jpg,none
02b60356_Laser Pain S014 17.jpg,none
02c1c572_Posed Pain S066 04.jpg,mild
