new_filename,original_path
7d7c1c31_Colour-S001A 03.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 03.jpg
c18bc353_Colour-S001A 04.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 04.jpg
db962a9c_Colour-S001A 05.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 05.jpg
5867e8eb_Colour-S001A 06.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 06.jpg
f33a5b58_Colour-S001A 07.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 07.jpg
7f0e4616_Colour-S001A 08.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 08.jpg
f8c4355b_Colour-S001A 09.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 09.jpg
adb94282_Colour-S001A 10.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 10.jpg
c0a39825_Colour-S001A 11.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 11.jpg
0c31207d_Colour-S001A 12.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 12.jpg
421b6ded_Colour-S001A 13.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 13.jpg
cd92756d_Colour-S001A 14.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 14.jpg
563551f7_Colour-S001A 15.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 15.jpg
c79c5ae2_Colour-S001A 16.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 16.jpg
94dceb1e_Colour-S001A 17.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 17.jpg
95996d60_Colour-S001A 18.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 18.jpg
a4126a94_Colour-S001A 19.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 19.jpg
93acef8f_Colour-S001A 20.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 20.jpg
205d7b64_Colour-S001A 21.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 21.jpg
a98dfb2f_Colour-S001A 22.jpg,Pictures/Modified\S001\Algometer Pain\BW frames\Colour-S001A 22.jpg
2569881f_Colour-S001A 03.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 03.jpg
618cd037_Colour-S001A 04.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 04.jpg
ca420d23_Colour-S001A 05.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 05.jpg
706a01c4_Colour-S001A 06.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 06.jpg
b795bd25_Colour-S001A 07.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 07.jpg
25964803_Colour-S001A 08.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 08.jpg
f2d4f63b_Colour-S001A 09.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 09.jpg
b818ce23_Colour-S001A 10.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 10.jpg
b1de37ac_Colour-S001A 11.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 11.jpg
8408ddec_Colour-S001A 12.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 12.jpg
d0abf1c0_Colour-S001A 13.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 13.jpg
b05c0c26_Colour-S001A 14.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 14.jpg
1f99f1c4_Colour-S001A 15.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 15.jpg
2603962c_Colour-S001A 16.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 16.jpg
1df98cc7_Colour-S001A 17.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 17.jpg
e1d94bdb_Colour-S001A 18.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 18.jpg
bb5719b2_Colour-S001A 19.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 19.jpg
120a5cf5_Colour-S001A 20.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 20.jpg
71ce2780_Colour-S001A 21.jpg,Pictures/Modified\S001\Algometer Pain\BW oval frames\Colour-S001A 21.jpg
